20051020_43808_0100_PP 1
20051020_44261_0100_PP 1
20051020_44284_0100_PP 1
20051020_44338_0100_PP 1
20051020_44400_0100_PP 1
20051020_44431_0100_PP 1
20051020_44692_0100_PP 1
20051020_44714_0100_PP 1
20051020_44762_0100_PP 1
20051020_44982_0100_PP 1
20051020_56791_0100_PP 1
20051020_57157_0100_PP 1
20051020_57967_0100_PP 1
20051020_58065_0100_PP 1
20051020_61757_0100_PP 1
20051020_61804_0100_PP 1
20051020_61907_0100_PP 1
20051020_62510_0100_PP 1
20051020_63045_0100_PP 1
20051020_63269_0100_PP 1
20051020_64249_0100_PP 1
20051020_64388_0100_PP 1
20051020_64653_0100_PP 1
20051020_64703_0100_PP 1
20051020_64775_0100_PP 1
20051020_64836_0100_PP 1
20051021_36476_0100_PP 1
20051021_39482_0100_PP 1
20051021_39845_0100_PP 1
20051021_39914_0100_PP 1
20051021_40018_0100_PP 1
20051021_51418_0100_PP 1
20051021_51476_0100_PP 1
20051021_51936_0100_PP 1
20051021_51994_0100_PP 1
20051021_57798_0100_PP 1
20051021_57862_0100_PP 1
20051021_57975_0100_PP 1
20051021_58035_0100_PP 1
20051021_58316_0100_PP 1
20051021_58522_0100_PP 1
20051021_59589_0100_PP 1
20051109_57451_0400_PP 1
20051109_57843_0400_PP 1
20051109_59582_0400_PP 1
20051109_59751_0400_PP 1
20051109_59864_0400_PP 1
20051109_59969_0400_PP 1
20051109_60031_0400_PP 1
20051109_60136_0400_PP 1
20051110_33960_0400_PP 1
20051110_34013_0400_PP 1
20051110_34071_0400_PP 1
20051110_34493_0400_PP 1
20051110_35239_0400_PP 1
20051110_35279_0400_PP 1
20051110_35332_0400_PP 1
20051110_35926_0400_PP 1
20051110_37992_0400_PP 1
20051110_38111_0400_PP 1
20051110_38156_0400_PP 1
20051110_38194_0400_PP 1
20051110_38239_0400_PP 1
20051110_38280_0400_PP 1
20051110_38313_0400_PP 1
20051110_38352_0400_PP 1
20051110_38372_0400_PP 1
20051110_38411_0400_PP 1
20051110_38442_0400_PP 1
20051110_38472_0400_PP 1
20051110_38507_0400_PP 1
20051110_38644_0400_PP 1
20051110_38702_0400_PP 1
20051116_43388_0400_PP 1
20051116_43585_0400_PP 1
20051116_43679_0400_PP 1
20051116_43710_0400_PP 1
20051116_43721_0400_PP 1
20051116_43785_0400_PP 1
20051116_43801_0400_PP 1
